x,y,z,36,broad_category
22.0,27.0,14.0,../datasets/Driving/Dataset driving 2.csv,Driving
18.0,24.0,25.0,../datasets/Driving/Dataset driving 2.csv,Driving
22.0,14.0,21.0,../datasets/Driving/Dataset driving 2.csv,Driving
20.0,5.0,15.0,../datasets/Driving/Dataset driving 2.csv,Driving
12.0,6.0,12.0,../datasets/Driving/Dataset driving 2.csv,Driving
18.0,10.0,13.0,../datasets/Driving/Dataset driving 2.csv,Driving
15.0,12.0,9.0,../datasets/Driving/Dataset driving 2.csv,Driving
52.0,15.0,36.0,../datasets/Driving/Dataset driving 2.csv,Driving
50.0,20.0,53.0,../datasets/Driving/Dataset driving 2.csv,Driving
91.0,39.0,31.0,../datasets/Driving/Dataset driving 2.csv,Driving
49.0,41.0,45.0,../datasets/Driving/Dataset driving 2.csv,Driving
86.0,50.0,71.0,../datasets/Driving/Dataset driving 2.csv,Driving
70.0,58.0,49.0,../datasets/Driving/Dataset driving 2.csv,Driving
57.0,36.0,33.0,../datasets/Driving/Dataset driving 2.csv,Driving
72.0,48.0,114.0,../datasets/Driving/Dataset driving 2.csv,Driving
137.0,133.0,276.0,../datasets/Driving/Dataset driving 2.csv,Driving
44.0,82.0,76.0,../datasets/Driving/Dataset driving 2.csv,Driving
251.0,63.0,179.0,../datasets/Driving/Dataset driving 2.csv,Driving
133.0,58.0,107.0,../datasets/Driving/Dataset driving 2.csv,Driving
77.0,45.0,40.0,../datasets/Driving/Dataset driving 2.csv,Driving
69.0,66.0,87.0,../datasets/Driving/Dataset driving 2.csv,Driving
73.0,41.0,100.0,../datasets/Driving/Dataset driving 2.csv,Driving
88.0,46.0,51.0,../datasets/Driving/Dataset driving 2.csv,Driving
62.0,37.0,71.0,../datasets/Driving/Dataset driving 2.csv,Driving
47.0,54.0,74.0,../datasets/Driving/Dataset driving 2.csv,Driving
37.0,77.0,94.0,../datasets/Driving/Dataset driving 2.csv,Driving
48.0,45.0,105.0,../datasets/Driving/Dataset driving 2.csv,Driving
51.0,41.0,58.0,../datasets/Driving/Dataset driving 2.csv,Driving
58.0,33.0,36.0,../datasets/Driving/Dataset driving 2.csv,Driving
47.0,32.0,37.0,../datasets/Driving/Dataset driving 2.csv,Driving
74.0,53.0,121.0,../datasets/Driving/Dataset driving 2.csv,Driving
24.0,39.0,80.0,../datasets/Driving/Dataset driving 2.csv,Driving
103.0,51.0,79.0,../datasets/Driving/Dataset driving 2.csv,Driving
35.0,74.0,99.0,../datasets/Driving/Dataset driving 2.csv,Driving
62.0,37.0,65.0,../datasets/Driving/Dataset driving 2.csv,Driving
59.0,31.0,74.0,../datasets/Driving/Dataset driving 2.csv,Driving
50.0,73.0,78.0,../datasets/Driving/Dataset driving 2.csv,Driving
74.0,31.0,84.0,../datasets/Driving/Dataset driving 2.csv,Driving
54.0,35.0,59.0,../datasets/Driving/Dataset driving 2.csv,Driving
72.0,33.0,83.0,../datasets/Driving/Dataset driving 2.csv,Driving
82.0,32.0,65.0,../datasets/Driving/Dataset driving 2.csv,Driving
53.0,47.0,73.0,../datasets/Driving/Dataset driving 2.csv,Driving
30.0,39.0,59.0,../datasets/Driving/Dataset driving 2.csv,Driving
68.0,30.0,78.0,../datasets/Driving/Dataset driving 2.csv,Driving
73.0,36.0,56.0,../datasets/Driving/Dataset driving 2.csv,Driving
