X;Y;Z
48;17;20
69;-4;38
44;-7;13
-39;1;-13
-48;0;-27
-59;-5;-25
3;4;2
66;-16;18
56;9;38
-20;8;1
-40;-1;-50
-62;-3;-9
-13;-7;-12
55;13;25
40;-6;25
30;-11;8
13;12;16
-77;-2;-40
-61;-6;-32
6;1;3
72;-11;25
44;14;27
-18;0;0
-38;1;-42
-57;-9;-6
1;3;-3
41;7;17
45;-8;22
56;0;21
-38;-4;-19
-80;8;-36
-46;-9;-22
38;10;23
66;-5;32
27;-12;11
-33;11;-9
-38;1;-40
-53;-5;-8
11;0;4
54;2;26
39;5;19
31;-3;13
-34;-7;-27
-74;2;-26
-23;-6;-12
30;-1;16
57;1;17
35;-7;16
-45;18;1
-44;-11;-44
-45;-5;-11
18;11;9
61;3;29
42;-8;20
12;10;11
-43;-14;-35
-71;2;-28
-14;-7;-5
43;-3;7
74;9;44
7;1;9
-49;2;-33
-68;0;-26
-21;-5;-4
51;9;17
39;1;21
58;-5;15
-25;3;3
-51;-5;-34
-58;1;-24
2;3;-3
51;-21;22
46;-2;22
-3;17;16
-38;-1;-36
-56;1;-16
-15;-3;-13
45;7;22
53;-6;31
32;1;-1
-8;3;5
-71;0;-42
-52;-3;-24
20;-3;14
59;-9;28
34;-4;16
-8;16;11
-51;2;-47
-56;-9;-14
8;6;-6
53;3;32
37;-2;20
-43;-2;-30
-76;2;-25
-22;-3;-15
25;-5;13
69;0;43
28;-2;5
-42;13;-16
-34;2;-24
-50;-9;-20
11;-2;1
51;8;26
54;-4;30
24;8;10
-51;-10;-37
-73;-1;-28
-20;-4;-9
36;-9;12
72;3;40
13;0;11
-44;12;-20
-44;-1;-31
-40;-10;-11
31;10;10
55;-3;24
29;-3;19
3;6;13
-26;-8;-25
-74;1;-34
-7;-1;-11
34;-7;23
73;0;29
7;0;6
-43;12;-21
-61;-2;-30
-27;-7;-11
41;8;21
47;4;26
46;-7;10
-14;5;6
-41;-8;-36
-69;-2;-24
-5;0;-1
45;-8;23
65;2;29
7;3;3
-50;6;-31
-51;-3;-17
-28;-7;-13
53;12;20
35;0;26
49;-4;12
-8;3;7
-58;-7;-40
-68;-3;-28
17;6;6
46;-14;21
52;1;19
0;9;12
-47;-2;-40
-61;-2;-14
-10;-5;-1
53;10;22
40;4;26
49;-8;2
-27;2;-6
-65;-3;-28
-48;-2;-21
2;3;-6
56;-9;27
72;6;43
-29;10;0
-50;-10;-59
-56;1;-8
-2;-5;-8
61;10;33
38;0;27
52;-1;11
-30;-7;-25
-87;7;-30
-38;-6;-21
15;-8;12
98;9;46
8;-11;5
-38;6;-18
-31;2;-25
-50;-1;-5
12;4;-8
63;3;34
33;-7;16
30;-2;11
-47;1;-23
-71;1;-27
-25;-5;-22
28;-8;14
64;0;30
37;3;21
-42;21;-3
-44;-14;-40
-53;-5;-18
11;5;0
65;3;34
47;-5;21
21;12;14
-37;-11;-36
-83;0;-21
-29;-5;-17
53;2;16
59;-14;26
16;6;18
-46;14;-13
-43;-4;-29
-32;-5;-21
26;7;20
60;3;28
36;-4;13
8;11;8
-57;-16;-37
-67;-2;-26
4;-2;-9
34;-6;18
67;-10;28
4;5;9
-48;13;-21
-48;3;-21
-27;-5;-16
45;6;19
50;-2;32
-28;5;2
-40;1;-28
-58;-3;-24
0;-1;-10
42;-8;27
65;4;40
11;10;7
-51;-7;-46
-69;1;-27
-14;-7;-8
47;16;26
46;-7;19
53;-1;19
-34;1;-7
-39;-1;-26
-65;-4;-21
-3;-2;-9
51;-9;33
69;1;35
-11;9;-4
-47;-5;-43
-53;6;-18
-16;-7;-7
47;11;28
41;-5;17
49;-5;12
-21;7;-1
-49;1;-21
-63;-8;-30
3;5;-6
57;-16;23
55;-3;37
-18;22;6
-37;-9;-48
-70;-1;-16
1;1;-5
68;4;43
35;-9;15
48;10;12
-45;-4;-28
-72;0;-23
-41;-8;-20
36;0;10
58;0;34
39;-1;21
-35;13;-7
-41;0;-35
-61;-11;-22
27;10;21
60;-2;15
27;-1;11
17;1;15
-18;-6;-16
-72;-3;-28
-9;4;-8
29;-3;8
20;-4;11
4;1;-1
-24;-2;-13
-19;0;5
-17;2;-10
17;4;13
34;1;17
27;-1;7
3;4;2
-25;-7;-23
-44;-2;-18
-7;-2;-3
25;0;11
28;-1;10
0;-5;8
-18;-2;-23
-23;14;16
-23;-5;-19
34;4;18
49;6;19
15;-18;-11
-28;3;-10
-35;-1;-17
-47;-3;-15
12;0;2
60;4;33
28;0;13
-15;-2;-4
-21;-2;-22
-53;1;-14
-1;-3;-4
22;1;16
39;6;29
25;-1;-7
-21;-5;-16
-36;-2;-12
-22;7;-8
7;-7;6
24;0;9
37;3;16
-16;2;11
-34;-14;-51
-23;6;9
-3;0;-1
28;4;18
42;0;11
18;-12;2
-28;-2;-21
-52;9;-12
-18;1;-4
28;-3;12
53;0;27
33;0;9
-57;3;-16
-47;-5;-46
-28;-5;2
33;9;16
42;-2;21
25;-5;4
18;2;14
-40;-2;-28
-61;4;-17
-14;-5;-10
52;-5;21
61;4;29
-7;4;7
-39;0;-35
-67;-1;-22
-16;-6;-10
62;12;36
35;-11;9
39;-7;7
-52;7;-19
-58;-8;-32
14;3;6
61;-8;20
46;5;37
-22;6;-6
-48;-1;-41
-52;-6;-15
2;1;-10
67;3;43
38;-3;17
36;5;17
-49;-5;-35
-72;-2;-26
-25;1;-15
34;-7;16
74;4;41
24;-4;11
-47;14;-20
-64;-7;-39
-35;-5;-10
47;13;16
41;-2;32
34;-5;2
11;2;15
-36;-3;-31
-77;-6;-36
11;7;17
28;-14;4
61;7;34
1;-2;6
-39;9;-42
-49;-7;-7
-31;1;-13
61;8;27
39;1;18
9;-12;-7
-1;3;10
-39;4;-24
-55;-7;-21
10;3;6
60;-5;26
23;-1;13
-12;6;9
-39;-5;-40
-50;0;-14
4;1;-8
56;6;32
35;0;18
25;-9;1
-28;-6;-15
-81;7;-29
-16;-3;-10
40;-7;18
61;7;34
28;4;15
-53;2;-27
-62;-2;-36
-22;-7;-8
35;4;22
55;1;25
32;-7;7
2;10;6
-66;-2;-31
-52;-4;-27
16;2;3
50;-8;26
32;2;21
-9;8;0
-27;-11;-36
-57;7;-6
-14;-6;-13
46;8;28
74;8;41
16;-16;-14
-46;-6;-30
-51;12;-11
-28;-7;-13
12;4;8
69;-6;30
22;-1;16
-31;8;-6
-42;-7;-37
-42;-4;-14
17;8;6
63;7;40
19;-10;-10
12;-9;5
-17;4;-9
-66;5;-15
-33;-4;-20
43;-3;9
59;1;42
16;-6;5
-34;8;-21
-53;0;-27
41;9;13
46;3;26
26;-4;-1
-8;-7;-3
-18;-3;-8
-63;3;-21
-16;-1;-9
44;-5;27
55;-7;16
8;0;-2
-43;11;-16
-48;3;-23
-22;-11;-10
44;18;26
44;-6;20
20;-5;0
-2;-1;6
-27;-2;-18
-75;-2;-28
-7;0;-9
43;-5;29
66;3;32
5;-1;4
-38;7;-33
-61;-6;-25
-30;-6;-14
60;15;30
29;-5;22
58;-4;6
-24;-4;-7
-57;2;-22
-53;1;-21
6;-4;-1
57;-6;30
44;2;21
-19;8;-5
-29;-4;-32
-57;-2;-9
1;-1;-9
35;-3;21
48;5;21
62;16;33
-53;-19;-37
-70;-1;-32
-38;-1;-20
23;6;16
44;-6;24
40;1;17
17;10;19
-45;-6;-48
-75;-6;-24
8;0;-4
39;-2;25
43;2;22
36;-4;14
-44;-7;-25
-33;14;-9
-44;-8;-25
14;5;0
63;-6;27
50;-4;45
-62;15;-34
-13;-9;-20
-55;1;-13
2;3;-4
39;4;20
46;1;16
40;-4;18
-24;-4;-20
-65;1;-17
-44;-3;-24
5;3;11
55;-5;20
47;-2;14
-15;0;8
-37;-4;-26
-39;-1;-17
-15;7;-4
17;3;7
45;1;20
38;1;20
12;3;5
-5;-10;-16
-78;-8;-39
-16;17;0
7;-13;3
30;-4;12
20;2;24
-4;11;-6
-20;-18;-33
-14;2;7
-8;2;-2
12;2;0
13;13;12
-8;-4;10
98;-11;8
-12;0;11
-97;7;-22
-42;-7;-46
27;-1;22
71;-4;31
6;-6;1
-30;17;11
-26;-8;-42
-50;0;-12
22;5;7
50;4;31
31;0;5
32;-4;15
-62;-9;-35
-68;-2;-22
3;11;3
44;-13;19
42;-5;20
8;1;6
-26;15;-20
-50;-2;-27
-36;-10;-17
49;16;31
52;-8;13
39;-8;15
-37;3;-9
-43;2;-27
-56;-9;-20
19;6;13
64;-10;26
25;-6;2
-7;16;14
-65;-5;-18
9;2;-6
62;6;18
40;-4;26
39;14;22
-57;-26;-42
-75;5;-13
-11;5;2
21;-11;11
66;7;29
36;-1;28
-53;12;-42
-15;-5;-33
-60;-5;-8
12;6;9
59;-2;14
54;-8;34
0;18;4
-64;-21;-58
-60;-4;5
1;11;2
26;-10;16
78;-1;37
27;10;24
-49;6;-48
-72;-5;-37
-31;-12;-12
47;18;16
64;-4;33
35;-10;7
-20;6;-6
-60;-8;-27
-48;6;-20
3;0;6
79;-18;16
43;14;25
-36;-2;6
-40;-6;-48
-54;8;0
-6;-6;-9
60;6;29
62;-2;29
28;1;1
-63;-5;-29
-49;2;-22
-33;1;-4
34;-6;13
56;2;35
37;-3;0
-42;16;-8
-50;-8;-39
-52;-6;-11
35;12;6
66;-2;32
46;-4;4
-11;0;14
-49;-6;-30
-66;0;-23
-4;3;-11
51;-9;28
65;3;23
-16;-18;-5
-38;25;-3
-49;-3;-24
-28;-9;-16
58;10;24
44;2;30
44;-4;0
-36;-5;-8
-44;-2;-28
-54;-3;-17
11;12;-3
60;-19;25
43;3;15
-22;4;10
-43;3;-32
-48;0;-6
-13;-10;-15
52;13;28
54;-2;18
48;0;12
-51;1;-14
-51;-1;-24
-56;-7;-23
21;2;24
70;-1;19
26;-6;11
-23;5;-4
-30;6;-32
-68;-7;-14
5;4;-6
67;5;21
59;3;26
11;-2;8
-51;-12;-24
-65;4;-9
-21;-3;-17
28;-8;11
61;5;32
26;-4;11
-40;8;-14
-16;4;-25
-66;-6;-19
13;6;2
62;5;21
32;-11;3
26;2;19
-43;-10;-25
-42;7;-5
-56;0;-12
23;-5;15
71;2;26
34;6;20
-51;-2;-22
-21;-7;-23
-40;12;-16
-6;-13;-11
78;18;38
40;-6;18
7;-3;2
-41;-10;-31
-77;5;-21
-14;2;-20
48;-11;25
46;-8;30
29;1;9
-45;20;-10
-58;-13;-38
22;-1;2
58;3;38
41;-5;4
1;14;9
-36;-11;-21
-88;-12;-35
11;19;-4
44;3;33
47;-9;-9
-12;-24;0
-52;12;-12
-30;0;-14
-18;4;2
45;14;-15
91;21;78
9;-32;-8
-41;2;-15
-51;-1;-22
-58;-1;-25
11;1;9
63;-13;22
50;1;30
-14;15;2
-37;-2;-42
-72;0;-25
-19;-12;-11
81;23;31
51;-6;25
34;-2;13
-39;-13;-17
-69;10;-19
-49;-9;-33
11;2;17
90;-9;26
37;-2;34
-40;16;-19
-44;-3;-39
-61;-6;-19
13;0;-2
77;13;39
44;-13;19
37;15;11
-68;-17;-38
-78;1;-17
-33;-6;-20
43;1;23
80;-7;39
30;8;17
-51;16;-22
-56;-8;-38
-47;-8;-16
30;6;13
73;14;40
65;-10;2
-34;1;3
-52;-6;-23
-74;-6;-23
-2;3;-8
61;-2;32
60;-16;29
-5;4;-8
-34;10;-31
-63;6;-10
-22;-7;-22
45;11;24
66;0;31
34;0;8
-27;-1;-7
-65;-3;-25
-55;-10;-30
18;7;10
66;-9;22
43;-13;14
-20;19;18
-34;-9;-39
-67;8;-15
-1;-2;-9
50;5;30
67;1;29
25;0;4
-50;0;-24
-68;-1;-23
-40;-15;-24
27;9;14
88;-2;44
34;-8;17
-39;17;-12
-55;-6;-49
-59;-6;-14
10;0;5
72;12;30
58;-4;29
26;15;17
-68;-23;-45
-73;-1;-22
-30;-5;-18
36;3;24
82;-10;37
32;4;17
-47;18;-32
-61;-10;-33
-44;-5;-15
27;6;17
74;16;30
65;-6;25
-21;4;-1
-70;-14;-48
-54;0;-17
-13;-1;-10
53;-24;20
50;-7;28
16;22;28
-42;1;-42
-65;2;-15
-14;-3;-29
38;10;28
82;-2;41
38;4;15
-56;-7;-31
-61;0;-30
-48;-5;-18
24;-3;9
77;-4;35
33;-2;11
-33;15;11
-37;-1;-42
-64;-7;-14
3;0;-6
34;-13;16
39;1;8
-60;-9;-29
-68;2;-18
-30;-5;-21
37;4;15
67;-10;29
39;-1;24
-51;20;-13
-45;-9;-43
-55;-6;-14
25;9;12
65;10;35
51;-15;11
6;8;3
-56;-8;-29
-71;1;-19
-20;-1;-16
61;-14;31
62;2;36
4;-3;8
-39;13;-36
-64;2;-22
-27;-9;-14
40;12;19
65;2;29
56;-1;19
-26;-4;-9
-77;-2;-39
-55;-7;-21
-9;4;-1
73;-15;30
58;9;44
-6;1;-6
-46;1;-37
-57;1;-26
-16;-1;-7
58;5;24
61;5;33
42;-2;15
-72;-15;-42
-54;5;-19
-39;-5;-15
28;0;22
66;-2;21
30;-1;19
-21;17;-5
-49;-8;-38
-53;-5;-16
10;7;12
63;5;17
44;-10;22
41;13;18
-68;-15;-43
-70;0;-18
-27;2;-15
34;-12;17
81;0;34
14;-7;3
-38;26;-14
-59;-5;-24
-35;-8;-7
36;5;14
49;8;23
49;-2;18
-1;5;1
-51;-12;-35
-77;-9;-28
-2;0;0
61;-4;22
52;-10;33
9;11;6
-49;9;-42
-67;-3;-24
-14;-5;-10
63;11;24
43;-2;24
