X;Y;Z
-67;199;-123
-50;-258;199
22;-12;39
-26;29;-2
2;2;15
3;7;7
12;-13;-21
15;-18;-3
-15;-8;3
-14;9;7
-22;-12;6
47;32;-47
-17;-13;31
2;-19;-63
-18;20;87
-4;17;-5
-9;-12;1
15;-15;2
1;51;-27
-4;-30;6
-4;61;29
44;-178;33
-48;110;-72
39;17;25
-25;-6;-36
-10;-1;22
4;77;-22
29;-138;-4
-25;58;11
-5;-9;34
45;-62;-27
-86;69;15
65;-1;2
16;10;-17
-25;-122;99
-11;101;-98
-3;-1;15
-2;2;-5
-4;-3;-6
34;40;-25
-173;-717;418
117;686;-213
-24;-163;-46
-20;155;-47
128;251;-240
-45;-284;224
344;212;-236
419;518;31
-902;-457;90
194;-291;60
6;-416;-114
-173;1498;-984
-83;-1355;1040
201;230;115
-82;123;-134
86;-70;338
62;162;-441
346;907;287
-439;-980;-275
41;-79;132
-22;58;-7
-3;-11;14
1;-25;-1
3;-6;24
-24;38;11
-27;-24;-21
13;-25;19
-50;-43;8
-1;-18;5
-58;-27;-7
28;41;3
14;-17;-6
13;-14;-12
-22;13;8
1;-6;-11
17;-2;7
-6;2;-4
0;-3;-2
2;-18;5
10;-5;-3
2;-3;6
-11;-18;-5
-20;25;16
8;28;-12
-31;92;-69
44;-106;75
-13;-5;-13
-18;36;10
-4;7;-5
-1;3;3
4;-3;4
-24;10;-17
30;4;22
-35;25;9
-11;-5;-2
3;-14;6
-14;17;-16
1;17;1
13;5;8
12;-3;-12
7;-9;-7
33;12;-13
14;-16;5
8;-15;8
17;-27;-4
19;-6;-9
-18;2;-20
34;-8;10
-1;8;15
-2;-35;2
8;24;-13
-10;3;-4
-3;10;1
13;-8;-10
-16;44;12
-8;-19;-22
98;41;-67
-37;0;91
-141;149;-226
99;-201;206
-10;19;-10
0;-19;-11
-43;37;43
25;39;-37
-60;-277;-16
68;232;37
-23;-7;-2
35;-5;-8
0;5;1
435;-92;-1088
-510;201;996
23;-103;110
-408;-568;643
224;1066;-293
290;-630;-304
93;-48;86
-371;158;-418
16;78;147
256;75;153
-31;-129;51
-53;0;-19
53;-49;-38
-3;2;-19
3;25;-22
-112;45;-34
68;-18;42
-1;-39;-1
1;-18;6
1;3;0
11;19;-17
-17;33;-6
25;-43;18
2;19;25
-16;6;-18
-7;-17;-9
19;24;3
-21;-46;7
5;51;-11
4;85;2
-10;-148;-18
0;67;18
24;-43;-9
-1155;-984;962
1110;1029;-979
426;63;-79
-172;451;-915
-1152;-1297;777
1067;462;204
-410;770;316
228;-512;-296
-2;149;-51
-3;-189;164
85;25;-121
32;-25;85
-133;139;-121
27;-140;61
-81;162;-80
109;-89;98
22;-40;-42
-16;32;-2
-17;0;-4
8;-52;13
16;-5;-4
-13;28;-12
