X;Y;Z
5;-52;35
-4;4;-22
3;-14;48
-26;25;-40
-7;12;-34
14;1;-70
17;24;124
-18;-28;-71
9;-40;22
7;27;14
-11;50;-69
20;-40;52
-13;5;54
-17;-21;-43
-7;-12;-27
0;-9;106
19;39;-24
-7;-22;-42
14;-2;-47
-2;3;44
14;62;80
-10;-42;-77
-8;7;40
-21;-63;84
37;85;-9
-2;-27;-115
-30;-14;16
11;53;-35
20;3;58
-13;-88;-140
-14;89;41
16;1;31
3;-24;62
-25;-22;-71
3;30;-3
-25;11;88
40;-2;-59
-15;-3;14
-10;-38;-56
37;-40;156
-28;49;-104
-15;10;-1
-4;29;19
3;-33;-27
11;-69;1
25;39;-18
-25;-30;-4
16;-31;19
9;4;1
-2;12;40
-29;-17;-80
28;81;76
-22;-109;-65
20;58;49
-32;-15;-21
22;45;-4
-3;14;-34
1;-73;28
-9;57;-8
7;-4;-28
10;11;42
-28;-10;11
24;19;10
21;-63;40
-67;68;-42
23;-22;23
12;35;-25
17;-78;16
15;-4;-7
-12;28;-13
-53;-4;45
50;35;-58
25;-32;21
-14;19;30
-17;-18;8
-6;13;-85
26;-19;40
0;12;50
-36;6;-81
5;7;-23
5;0;26
-18;-1;72
37;2;-43
-18;11;-69
18;-18;35
-29;22;-28
5;7;-1
-8;1;23
15;-44;12
-9;8;30
18;62;-35
-9;-52;14
-30;48;-47
11;-34;17
0;34;-54
4;-3;58
-8;-21;-29
-14;9;19
21;32;-13
0;-33;39
1;-15;-9
-7;15;-56
-15;-19;5
28;-4;42
-2;50;-55
-5;5;47
14;-82;7
-21;68;-24
15;-24;20
11;-23;16
17;-27;53
-30;48;-50
-2;-2;-62
-4;12;31
-4;-23;-2
17;11;-7
-20;3;54
21;2;1
8;7;-34
-19;-20;-43
0;45;44
-42;-14;22
29;-29;-86
-13;5;43
29;29;34
-43;-14;0
25;-24;-40
-9;41;21
-6;-44;28
7;19;7
13;-4;19
-33;27;-96
34;-24;133
12;-10;-114
-9;4;38
-9;-26;19
-8;36;-51
-7;-8;96
2;-4;-76
8;-56;45
16;-5;8
-6;37;-8
-8;14;7
-2;-32;-41
-13;26;8
-1;31;42
-7;-36;-2
5;-3;-18
26;3;66
-10;63;-137
-4;-65;7
1;9;92
-14;8;-18
44;3;-79
-31;12;71
-7;-29;43
19;42;-136
8;-56;96
-9;31;10
-20;9;-21
16;4;20
-16;-33;14
22;36;0
-44;-23;-4
50;55;-91
-25;-84;13
8;42;52
10;5;-20
22;33;-79
-19;2;20
1;9;-30
-14;-31;67
26;1;-88
-7;29;-52
4;-10;36
-4;-27;-11
8;22;28
12;-24;-18
-3;96;-4
-2;-78;83
-14;-49;-56
-17;35;-19
16;-18;15
27;13;-4
-30;12;13
20;-38;-53
-40;24;93
33;-25;-24
-11;8;-19
9;-12;-50
0;-17;48
-14;3;-50
1;39;31
-18;-22;12
19;26;5
-14;-4;-22
-12;1;53
-16;-3;-50
48;3;5
-5;-6;1
-30;-18;-7
-25;-3;34
40;26;-70
-3;23;-9
-28;17;16
-4;-30;27
82;11;-46
-51;16;-10
-47;29;44
49;-32;18
-3;0;-66
-40;-29;-11
38;4;10
-2;10;71
12;3;4
-17;-12;-21
21;-24;30
6;-5;15
-10;9;-52
-7;-7;20
20;30;19
-22;-8;-25
12;-6;-2
-16;-30;41
9;51;-31
3;-50;19
-9;3;-32
35;5;58
-15;34;4
2;-7;-71
-2;-22;-19
-11;-18;66
14;55;3
-2;9;-58
0;-20;14
-7;6;-16
-45;11;20
29;20;-7
-15;5;57
28;-36;-5
-23;-7;-73
3;-24;5
22;77;86
-14;-47;-41
11;13;-24
-34;77;40
38;-63;-25
-14;-28;-62
-6;-4;72
23;2;45
12;1;-52
-17;20;-35
-38;-35;11
35;-15;69
-44;20;-76
-4;-39;38
17;-11;-25
16;53;-11
-6;-10;14
5;7;38
10;6;-11
-19;-1;-56
9;-46;4
18;49;-6
-22;13;14
11;-29;13
9;8;23
-5;-25;-35
-22;62;-4
-23;-32;-4
18;27;-73
16;10;52
-16;13;42
9;-33;-52
11;5;-22
-7;-33;75
-9;-5;-29
8;24;29
0;29;-19
-23;5;-28
26;-47;38
1;-8;-12
13;53;53
-10;-15;-77
6;-65;-19
-28;-3;62
-26;46;-58
37;-56;-30
2;32;-17
-22;-10;113
39;17;-6
-8;23;-129
-15;-24;47
6;-6;62
0;-28;-119
23;70;46
-10;12;89
7;-28;-83
-26;12;24
6;-53;81
18;27;-97
0;59;-34
-14;-46;92
-5;4;38
-26;8;-97
39;24;126
-42;-39;-72
37;17;15
11;-2;-30
-8;-39;14
-20;81;-59
-3;-27;54
18;22;-52
-14;-64;12
6;19;-13
-19;-1;134
31;-74;-64
-23;54;-114
3;10;151
-39;10;-127
47;-37;103
-12;66;-68
12;-79;36
-1;35;-93
-8;34;49
12;-20;2
17;-92;49
-35;82;-40
1;-76;-28
27;9;34
-49;5;-37
2;-5;-26
30;61;73
-9;21;10
2;-34;-7
-13;1;39
17;-38;-62
3;16;37
-21;14;16
44;-13;-41
-48;-13;-22
26;72;58
-6;-35;-34
-18;18;11
-8;-34;13
-38;-5;-1
56;-47;-42
3;15;9
-21;28;57
35;-7;-20
-8;16;-11
-14;-53;-42
-9;39;-34
9;10;62
3;17;-19
40;-53;67
-36;43;-70
-5;-20;27
6;33;-44
-44;14;16
36;-60;-50
-2;-10;57
-5;35;-16
5;22;-7
7;-25;14
-11;-5;-5
21;-26;5
-13;27;33
16;25;-12
-28;30;-62
-8;-19;13
1;-25;17
22;77;-29
-19;-14;28
7;-71;-6
-8;-41;28
2;61;5
7;-8;-46
-9;-2;-43
24;15;70
-22;-8;13
13;-18;-8
10;19;-18
-10;-38;41
32;18;-38
-4;51;-4
-23;-40;-11
-19;-2;53
9;-18;-1
1;21;-95
6;-3;117
-28;5;-39
30;48;19
17;-3;-20
-14;-24;-5
-6;-14;21
15;34;22
-17;13;16
7;-14;-24
-13;-8;-13
32;-31;44
-18;18;-62
-24;15;31
-9;0;21
12;-9;67
33;-35;-57
-25;43;3
4;-66;11
-18;17;-47
4;59;-1
