X;Y;Z
-88;74;9
-95;-14;104
61;-84;-90
70;-75;-71
-103;-28;41
-74;-30;85
65;107;-66
38;37;-5
-16;-43;3
-122;-28;95
-42;-95;-28
102;-75;-32
-28;37;3
19;6;45
183;167;-86
-16;120;-30
-137;35;123
-30;-57;-6
57;-103;-108
122;-9;-52
-106;-56;78
-105;42;-15
108;60;16
-60;-76;28
-162;-56;32
81;-99;-44
100;-35;28
-54;31;-2
52;122;-55
164;195;-33
-35;13;96
-188;18;-21
138;-141;-99
22;-64;21
-144;-19;47
20;63;21
79;39;-5
-100;-65;1
-138;-47;64
79;-72;-94
56;-37;-4
4;21;39
-30;-38;27
111;140;-118
180;118;69
-209;94;60
6;-48;-11
109;-121;-113
-60;-27;4
-93;-62;94
